Time(sec),Temperature(C),PWM(%)
0.001,27.50,0
0.005,27.50,0
0.009,27.50,0
0.013,27.50,0
0.017,27.50,0
0.021,27.50,0
0.025,27.50,0
0.029,27.50,0
0.033,27.50,0
0.037,27.50,0
0.042,27.50,0
0.050,27.50,0
0.050,27.50,0
0.053,27.50,0
0.057,27.50,0
0.062,27.50,0
0.065,27.50,0
0.069,27.50,0
0.073,27.50,0
0.079,27.50,0
0.083,27.50,0
0.086,27.50,0
0.090,27.50,0
0.094,27.50,0
0.102,27.50,0
0.102,27.50,100
0.108,27.50,100
0.109,27.50,100
0.113,27.50,100
0.117,27.50,100
0.121,27.50,100
0.125,27.50,100
0.129,27.50,100
0.133,27.50,100
0.137,27.50,100
0.142,27.50,100
0.145,27.50,100
0.150,27.50,100
0.153,27.50,100
0.159,27.50,100
0.165,27.50,100
0.165,27.50,100
0.169,27.50,100
0.173,27.50,100
0.177,27.50,100
0.181,27.50,100
0.185,27.50,100
0.189,27.50,100
0.196,27.50,100
0.197,27.50,100
0.203,27.50,100
0.207,27.50,100
0.210,27.50,100
0.213,27.50,100
0.217,27.50,100
0.221,27.50,100
0.225,27.50,100
0.229,27.50,100
0.233,27.50,100
0.237,27.50,100
0.241,27.50,100
0.245,27.75,100
0.249,27.75,100
0.255,27.75,100
0.258,27.75,100
0.264,27.75,100
0.265,27.75,100
0.269,27.75,100
0.273,27.75,100
0.277,27.75,100
0.281,27.75,100
0.285,27.75,100
0.290,27.75,100
0.296,27.75,100
0.298,27.75,100
0.302,27.75,100
0.306,27.75,100
0.309,27.75,100
0.313,27.75,100
0.317,27.75,100
0.321,28.00,100
0.325,28.00,100
0.329,28.00,100
0.333,28.00,100
0.337,28.00,100
0.343,28.00,100
0.347,28.00,100
0.349,28.00,100
0.354,28.00,100
0.358,28.00,100
0.361,28.00,100
0.368,28.00,100
0.369,28.00,100
0.373,28.00,100
0.377,28.00,100
0.381,28.00,100
0.385,28.00,100
0.389,28.00,100
0.396,28.25,100
0.397,28.25,100
0.403,28.25,100
0.407,28.25,100
0.410,28.25,100
0.413,28.25,100
0.417,28.25,100
0.421,28.25,100
0.425,28.25,100
0.429,28.25,100
0.433,28.25,100
0.437,28.25,100
0.446,28.25,100
0.446,28.25,100
0.455,28.25,100
0.455,28.25,100
0.460,28.25,100
0.461,28.25,100
0.466,28.25,100
0.469,28.50,100
0.473,28.50,100
0.477,28.50,100
0.481,28.50,100
0.485,28.50,100
0.489,28.50,100
0.496,28.50,100
0.497,28.50,100
0.503,28.50,100
0.507,28.50,100
0.510,28.50,100
0.513,28.50,100
0.517,28.50,100
0.521,28.50,100
0.525,28.50,100
0.529,28.50,100
0.533,28.50,100
0.537,28.50,100
0.546,29.00,100
0.546,29.00,100
0.549,29.00,100
0.553,29.00,100
0.559,29.00,100
0.561,29.00,100
0.565,29.00,100
0.569,29.00,100
0.574,29.00,100
0.577,29.00,100
0.581,29.00,100
0.585,29.00,100
0.590,29.00,100
0.596,29.00,100
0.597,29.00,100
0.603,29.00,100
0.607,29.00,100
0.610,29.00,100
0.613,29.00,100
0.617,29.50,100
0.621,29.50,100
0.625,29.50,100
0.629,29.50,100
0.633,29.50,100
0.637,29.50,100
0.642,29.50,100
0.647,29.50,100
0.649,29.50,100
0.653,29.50,100
0.657,29.50,100
0.661,29.50,100
0.665,29.50,100
0.669,29.50,100
0.673,29.50,100
0.679,29.50,100
0.681,29.50,100
0.685,29.50,100
0.689,30.00,100
0.696,30.00,100
0.697,30.00,100
0.703,30.00,100
0.707,30.00,100
0.709,30.00,100
0.713,30.00,100
0.717,30.00,100
0.721,30.00,100
0.725,30.00,100
0.729,30.00,100
0.733,30.00,100
0.737,30.00,100
0.747,30.00,100
0.747,30.00,100
0.749,30.00,100
0.753,30.00,100
0.757,30.00,100
0.761,30.00,100
0.765,30.75,100
0.769,30.75,100
0.773,30.75,100
0.777,30.75,100
0.784,30.75,100
0.785,30.75,100
0.789,30.75,100
0.796,30.75,100
0.797,30.75,100
0.803,30.75,100
0.807,30.75,100
0.810,30.75,100
0.813,30.75,100
0.817,30.75,100
0.821,30.75,100
0.825,30.75,100
0.829,30.75,100
0.833,30.75,100
0.837,30.75,100
0.842,31.25,100
0.847,31.25,100
0.849,31.25,100
0.853,31.25,100
0.857,31.25,100
0.861,31.25,100
0.865,31.25,100
0.869,31.25,100
0.873,31.25,100
0.877,31.25,100
0.881,31.25,100
0.890,31.25,100
0.890,31.25,100
0.896,31.25,100
0.897,31.25,100
0.903,31.25,100
0.907,31.25,100
0.910,31.25,100
0.913,32.00,100
0.917,32.00,98
0.921,32.00,98
0.925,32.00,98
0.929,32.00,98
0.933,32.00,98
0.937,32.00,98
0.946,32.00,98
0.946,32.00,98
0.949,32.00,99
0.953,32.00,99
0.957,32.00,99
0.961,32.00,99
0.965,32.00,99
0.969,32.00,99
0.973,32.00,99
0.977,32.00,99
0.981,32.00,99
0.985,32.00,99
0.990,32.75,99
0.997,32.75,99
0.997,32.75,96
1.004,32.75,96
1.005,32.75,96
1.011,32.75,96
1.013,32.75,96
1.017,32.75,96
1.021,32.75,97
1.025,32.75,97
1.029,32.75,97
1.033,32.75,97
1.037,32.75,97
1.047,32.75,97
1.047,32.75,97
1.049,32.75,97
1.054,32.75,97
1.058,32.75,97
1.061,33.50,97
1.065,33.50,97
1.069,33.50,94
1.073,33.50,94
1.077,33.50,94
1.081,33.50,94
1.085,33.50,95
1.090,33.50,95
1.097,33.50,95
1.097,33.50,95
1.104,33.50,95
1.108,33.50,95
1.109,33.50,95
1.113,33.50,95
1.117,33.50,95
1.121,33.50,95
1.125,33.50,95
1.129,33.50,95
1.133,33.50,95
1.137,34.50,95
1.147,34.50,92
1.147,34.50,92
1.149,34.50,92
1.154,34.50,92
1.158,34.50,92
1.162,34.50,92
1.165,34.50,92
1.169,34.50,92
1.173,34.50,92
1.177,34.50,92
1.181,34.50,92
1.185,34.50,92
1.190,34.50,92
1.196,34.50,92
1.197,34.50,92
1.203,34.50,92
1.207,34.50,92
1.210,34.50,92
1.213,35.25,92
1.217,35.25,92
1.221,35.25,90
1.225,35.25,90
1.229,35.25,90
1.233,35.25,90
1.237,35.25,90
1.242,35.25,90
1.247,35.25,90
1.249,35.25,90
1.253,35.25,90
1.258,35.25,90
1.261,35.25,90
1.265,35.25,90
1.269,35.25,90
1.273,35.25,90
1.277,35.25,90
1.281,35.25,90
1.285,36.50,90
1.289,36.50,90
1.296,36.50,86
1.297,36.50,86
1.302,36.50,86
1.306,36.50,86
1.309,36.50,86
1.313,36.50,86
1.317,36.50,86
1.321,36.50,86
1.325,36.50,86
1.329,36.50,86
1.333,36.50,86
1.337,36.50,86
1.342,36.50,86
1.346,36.50,86
1.351,36.50,86
1.353,36.50,86
1.357,36.50,86
1.361,37.75,86
1.365,37.75,82
1.369,37.75,82
1.373,37.75,82
1.377,37.75,82
1.381,37.75,82
1.385,37.75,82
1.390,37.75,82
1.396,37.75,82
1.397,37.75,82
1.404,37.75,82
1.408,37.75,82
1.412,37.75,82
1.413,37.75,82
1.417,37.75,82
1.421,37.75,83
1.425,37.75,83
1.429,37.75,83
1.433,39.00,83
1.437,39.00,78
1.442,39.00,78
1.447,39.00,79
1.449,39.00,79
1.453,39.00,79
1.457,39.00,79
1.461,39.00,79
1.465,39.00,79
1.469,39.00,79
1.473,39.00,79
1.477,39.00,79
1.481,39.00,79
1.485,39.00,79
1.489,39.00,79
1.496,39.00,79
1.497,39.00,79
1.503,39.00,79
1.508,39.00,79
1.511,40.25,79
1.513,40.25,79
1.517,40.25,75
1.521,40.25,75
1.525,40.25,75
1.529,40.25,75
1.533,40.25,75
1.537,40.25,75
1.546,40.25,75
1.546,40.25,75
1.553,40.25,75
1.554,40.25,75
1.558,40.25,75
1.561,40.25,75
1.565,40.25,75
1.569,40.25,75
1.573,40.25,75
1.577,40.25,75
1.581,40.50,75
1.585,40.50,75
1.590,40.50,74
1.596,40.50,74
1.597,40.50,74
1.604,40.50,74
1.608,40.50,74
1.612,40.50,74
1.613,40.50,74
1.617,40.50,74
1.621,40.50,74
1.625,40.50,74
1.629,40.50,75
1.633,40.50,75
1.637,40.50,75
1.646,40.50,75
1.646,40.50,75
1.649,40.50,75
1.654,40.50,75
1.659,41.75,75
1.662,41.75,71
1.665,41.75,71
1.669,41.75,71
1.673,41.75,71
1.677,41.75,71
1.681,41.75,71
1.685,41.75,71
1.690,41.75,71
1.697,41.75,71
1.697,41.75,71
1.701,41.75,71
1.708,41.75,71
1.709,41.75,71
1.713,41.75,71
1.717,41.75,71
1.721,41.75,71
1.725,41.75,71
1.729,41.75,71
1.733,42.75,71
1.737,42.75,71
1.742,42.75,68
1.747,42.75,68
1.749,42.75,68
1.754,42.75,68
1.758,42.75,68
1.762,42.75,68
1.765,42.75,68
1.769,42.75,68
1.773,42.75,68
1.777,42.75,68
1.781,42.75,68
1.785,42.75,68
1.790,42.75,68
1.797,42.75,68
1.797,42.75,68
1.804,42.75,68
1.808,43.75,68
1.809,43.75,68
1.813,43.75,65
1.817,43.75,65
1.821,43.75,65
1.825,43.75,65
1.829,43.75,65
1.833,43.75,65
1.837,43.75,65
1.843,43.75,65
1.847,43.75,65
1.850,43.75,65
1.855,43.75,65
1.859,43.75,65
1.864,43.75,65
1.865,43.75,65
1.869,43.75,65
1.873,43.75,65
1.877,43.75,65
1.881,44.75,65
1.885,44.75,62
1.889,44.75,62
1.897,44.75,62
1.897,44.75,62
1.902,44.75,62
1.905,44.75,62
1.910,44.75,62
1.915,44.75,62
1.917,44.75,62
1.921,44.75,62
1.925,44.75,62
1.929,44.75,62
1.933,44.75,62
1.937,44.75,62
1.943,44.75,62
1.947,44.75,62
1.950,44.75,62
1.955,45.25,62
1.960,45.25,60
1.964,45.25,60
1.965,45.25,60
1.969,45.25,60
1.973,45.25,60
1.977,45.25,60
1.981,45.25,60
1.985,45.25,60
1.990,45.25,60
1.998,45.25,60
1.998,45.25,60
2.002,45.25,60
2.005,45.25,60
2.010,45.25,60
2.015,45.25,60
2.017,45.25,60
2.021,45.25,60
2.025,45.25,60
2.029,46.00,60
2.033,46.00,60
2.037,46.00,58
2.047,46.00,58
2.047,46.00,58
2.049,46.00,58
2.055,46.00,58
2.059,46.00,58
2.064,46.00,58
2.065,46.00,58
2.069,46.00,58
2.073,46.00,58
2.077,46.00,58
2.081,46.00,58
2.085,46.00,58
2.090,46.00,58
2.097,46.00,58
2.097,46.00,58
2.102,46.00,58
2.105,47.00,58
2.109,47.00,55
2.114,47.00,55
2.117,47.00,55
2.121,47.00,55
2.125,47.00,55
2.129,47.00,55
2.133,47.00,55
2.137,47.00,55
2.141,47.00,55
2.147,47.00,55
2.149,47.00,55
2.155,47.00,55
2.160,47.00,55
2.161,47.00,55
2.165,47.00,55
2.169,47.00,55
2.173,47.00,55
2.177,47.75,55
2.181,47.75,53
2.185,47.75,53
2.190,47.75,53
2.197,47.75,53
2.197,47.75,53
2.204,47.75,53
2.205,47.75,53
2.209,47.75,53
2.213,47.75,53
2.217,47.75,53
2.221,47.75,53
2.225,47.75,53
2.229,47.75,53
2.233,47.75,53
2.237,47.75,53
2.242,47.75,53
2.247,47.75,53
2.249,47.75,53
2.254,48.75,53
2.258,48.75,53
2.262,48.75,50
2.265,48.75,50
2.269,48.75,50
2.273,48.75,50
2.277,48.75,50
2.281,48.75,50
2.285,48.75,50
2.290,48.75,50
2.297,48.75,50
2.297,48.75,50
2.302,48.75,50
2.305,48.75,50
2.309,48.75,50
2.313,48.75,50
2.317,48.75,50
2.321,48.75,50
2.325,49.50,50
2.329,49.50,50
2.333,49.50,47
2.337,49.50,47
2.343,49.50,47
2.347,49.50,47
2.349,49.50,47
2.354,49.50,47
2.358,49.50,47
2.361,49.50,47
2.365,49.50,48
2.369,49.50,48
2.373,49.50,48
2.377,49.50,48
2.381,49.50,48
2.385,49.50,48
2.390,49.50,48
2.397,49.50,48
2.397,49.50,48
2.404,50.25,48
2.405,50.25,45
2.409,50.25,45
2.413,50.25,45
2.417,50.25,45
2.421,50.25,45
2.425,50.25,45
2.429,50.25,45
2.433,50.25,45
2.437,50.25,45
2.442,50.25,45
2.446,50.25,45
2.450,50.25,45
2.453,50.25,45
2.458,50.25,45
2.461,50.25,45
2.465,50.25,45
2.469,50.25,45
2.473,51.25,45
2.477,51.25,42
2.481,51.25,42
2.485,51.25,42
2.489,51.25,42
2.497,51.25,42
2.497,51.25,42
2.501,51.25,42
2.508,51.25,42
2.511,51.25,42
2.513,51.25,42
2.517,51.25,42
2.521,51.25,42
2.525,51.25,42
2.529,51.25,42
2.533,51.25,42
2.537,51.25,42
2.544,51.25,42
2.548,51.25,42
2.549,51.75,42
2.555,51.75,42
2.559,51.75,41
2.564,51.75,41
2.565,51.75,41
2.569,51.75,41
2.573,51.75,41
2.577,51.75,41
2.581,51.75,41
2.585,51.75,41
2.589,51.75,41
2.597,51.75,41
2.597,51.75,41
2.603,51.75,41
2.608,51.75,41
2.611,51.75,41
2.613,51.75,41
2.617,51.75,41
2.621,51.75,41
2.625,52.50,41
2.629,52.50,38
2.633,52.50,38
2.637,52.50,38
2.642,52.50,38
2.646,52.50,38
2.649,52.50,38
2.654,52.50,38
2.658,52.50,38
2.662,52.50,38
2.665,52.50,38
2.669,52.50,38
2.673,52.50,38
2.677,52.50,38
2.681,52.50,38
2.685,52.50,38
2.690,52.50,38
2.697,52.50,38
2.697,53.25,38
2.704,53.25,36
2.708,53.25,36
2.711,53.25,36
2.713,53.25,36
2.717,53.25,36
2.721,53.25,36
2.725,53.25,36
2.729,53.25,36
2.733,53.25,36
2.737,53.25,36
2.741,53.25,36
2.747,53.25,36
2.749,53.25,36
2.754,53.25,36
2.758,53.25,36
2.762,53.25,36
2.765,53.25,36
2.769,53.25,36
2.773,53.75,36
2.777,53.75,36
2.781,53.75,34
2.785,53.75,34
2.790,53.75,34
2.797,53.75,34
2.797,53.75,34
2.804,53.75,34
2.805,53.75,34
2.809,53.75,34
2.813,53.75,34
2.817,53.75,34
2.821,53.75,34
2.825,53.75,34
2.829,53.75,34
2.833,53.75,34
2.837,53.75,34
2.843,53.75,34
2.847,54.25,34
2.849,54.25,34
2.854,54.25,33
2.859,54.25,33
2.863,54.25,33
2.865,54.25,33
2.869,54.25,33
2.873,54.25,33
2.877,54.25,33
2.881,54.25,33
2.885,54.25,33
2.890,54.25,33
2.897,54.25,33
2.897,54.25,33
2.905,54.25,33
2.905,54.25,33
2.909,54.25,33
2.914,54.25,33
2.917,54.25,33
2.921,54.75,33
2.925,54.75,31
2.929,54.75,31
2.933,54.75,31
2.937,54.75,31
2.943,54.75,31
2.947,54.75,31
2.949,54.75,31
2.954,54.75,31
2.958,54.75,31
2.962,54.75,31
2.965,54.75,31
2.969,54.75,31
2.973,54.75,31
2.977,54.75,31
2.981,54.75,31
2.985,54.75,31
2.990,54.75,31
2.997,55.50,31
2.997,55.50,29
3.002,55.50,29
3.008,55.50,29
3.009,55.50,29
3.013,55.50,29
3.017,55.50,29
3.021,55.50,29
3.025,55.50,29
3.029,55.50,29
3.033,55.50,29
3.037,55.50,29
3.043,55.50,29
3.047,55.50,29
3.049,55.50,29
3.054,55.50,29
3.059,55.50,29
3.064,55.50,29
3.065,55.50,29
3.069,56.50,29
3.073,56.50,29
3.077,56.50,26
3.081,56.50,26
3.085,56.50,26
3.090,56.50,26
3.097,56.50,26
3.097,56.50,26
3.102,56.50,26
3.105,56.50,26
3.110,56.50,26
3.115,56.50,26
3.117,56.50,26
3.121,56.50,26
3.125,56.50,26
3.129,56.50,26
3.133,56.50,26
3.137,56.50,26
3.143,56.50,26
3.147,57.00,26
3.149,57.00,24
3.155,57.00,24
3.159,57.00,24
3.164,57.00,24
3.165,57.00,24
3.169,57.00,24
3.173,57.00,24
3.177,57.00,24
3.181,57.00,24
3.185,57.00,24
3.190,57.00,24
3.197,57.00,24
3.198,57.00,24
3.204,57.00,24
3.207,57.00,24
3.213,57.00,24
3.213,57.00,24
3.217,57.75,24
3.221,57.75,22
3.225,57.75,22
3.229,57.75,22
3.233,57.75,22
3.237,57.75,22
3.243,57.75,22
3.247,57.75,22
3.250,57.75,22
3.255,57.75,22
3.259,57.75,22
3.264,57.75,22
3.265,57.75,22
3.269,57.75,22
3.273,57.75,22
3.277,57.75,22
3.281,57.75,22
3.285,57.75,22
3.290,57.75,22
3.297,58.25,22
3.297,58.25,22
3.302,58.25,20
3.305,58.25,20
3.309,58.25,20
3.314,58.25,20
3.317,58.25,20
3.321,58.25,20
3.325,58.25,20
3.329,58.25,20
3.333,58.25,20
3.337,58.25,20
3.343,58.25,20
3.347,58.25,20
3.349,58.25,20
3.355,58.25,20
3.359,58.25,20
3.364,58.25,20
3.365,59.00,20
3.369,59.00,20
3.373,59.00,18
3.377,59.00,18
3.381,59.00,18
3.385,59.00,18
3.389,59.00,18
3.398,59.00,18
3.398,59.00,18
3.401,59.00,18
3.406,59.00,18
3.412,59.00,18
3.413,59.00,18
3.417,59.00,18
3.421,59.00,18
3.425,59.00,18
3.429,59.00,18
3.433,59.00,18
3.437,59.00,18
3.443,59.25,18
3.448,59.25,17
3.450,59.25,17
3.455,59.25,17
3.460,59.25,17
3.461,59.25,17
3.465,59.25,17
3.469,59.25,17
3.473,59.25,17
3.477,59.25,17
3.481,59.25,17
3.485,59.25,17
3.490,59.25,17
3.497,59.25,17
3.497,59.25,17
3.505,59.25,17
3.505,59.25,17
3.510,59.25,17
3.515,59.25,17
3.517,60.00,17
3.521,60.00,17
3.525,60.00,14
3.529,60.00,14
3.533,60.00,14
3.537,60.00,14
3.543,60.00,14
3.548,60.00,14
3.549,60.00,14
3.556,60.00,14
3.561,60.00,14
3.561,60.00,14
3.565,60.00,14
3.569,60.00,14
3.573,60.00,14
3.577,60.00,14
3.581,60.00,14
3.585,60.00,14
3.590,60.50,14
3.597,60.50,14
3.598,60.50,13
3.605,60.50,13
3.605,60.50,13
3.610,60.50,13
3.615,60.50,13
3.617,60.50,13
3.621,60.50,13
3.625,60.50,13
3.629,60.50,13
3.633,60.50,13
3.637,60.50,13
3.644,60.50,13
3.649,60.50,13
3.649,60.50,13
3.657,60.50,13
3.658,60.50,13
3.664,60.50,13
3.667,61.00,13
3.669,61.00,11
3.673,61.00,11
3.677,61.00,11
3.681,61.00,11
3.685,61.00,11
3.689,61.00,11
3.699,61.00,11
3.699,61.00,11
3.701,61.00,11
3.707,61.00,11
3.714,61.00,11
3.714,61.00,11
3.717,61.00,11
3.721,61.00,11
3.725,61.00,11
3.729,61.00,11
3.733,61.00,11
3.737,61.75,11
3.744,61.75,9
3.749,61.75,9
3.749,61.75,9
3.755,61.75,9
3.757,61.75,9
3.764,61.75,9
3.767,61.75,9
3.769,61.75,9
3.773,61.75,9
3.777,61.75,9
3.781,61.75,9
3.785,61.75,9
3.790,61.75,9
3.797,61.75,9
3.797,61.75,9
3.802,61.75,9
3.806,61.75,9
3.810,61.75,9
3.816,62.25,8
3.817,62.25,8
3.821,62.25,7
3.825,62.25,7
3.829,62.25,7
3.833,62.25,7
3.837,62.25,7
3.844,62.25,7
3.849,62.25,7
3.849,62.25,7
3.854,62.25,7
3.857,62.25,7
3.863,62.25,7
3.867,62.25,7
3.869,62.25,7
3.873,62.25,7
3.877,62.25,7
3.881,62.25,7
3.885,62.25,7
3.890,62.75,7
3.898,62.75,5
3.898,62.75,5
3.902,62.75,5
3.906,62.75,5
3.911,62.75,5
3.916,62.75,5
3.917,62.75,5
3.921,62.75,5
3.925,62.75,5
3.930,62.75,5
3.933,62.75,5
3.937,62.75,5
3.943,62.75,5
3.949,62.75,5
3.949,62.75,5
3.954,62.75,5
3.957,62.75,5
3.963,63.25,5
3.967,63.25,3
3.969,63.25,3
3.973,63.25,3
3.977,63.25,3
3.981,63.25,3
3.985,63.25,3
3.990,63.25,3
3.999,63.25,3
3.999,63.25,3
4.001,63.25,3
4.007,63.25,3
4.013,63.25,3
4.013,63.25,3
4.017,63.25,3
4.021,63.25,3
4.025,63.25,3
4.029,63.25,3
4.033,63.25,3
4.037,63.50,3
4.043,63.50,3
4.049,63.50,3
4.049,63.50,3
4.057,63.50,3
4.057,63.50,3
4.062,63.50,3
4.067,63.50,3
4.069,63.50,3
4.073,63.50,3
4.077,63.50,3
4.081,63.50,3
4.085,63.50,3
4.090,63.50,3
4.098,63.50,3
4.098,63.50,3
4.106,63.50,3
4.106,63.50,3
4.111,64.00,3
4.116,64.00,3
4.117,64.00,1
4.121,64.00,1
4.125,64.00,1
4.129,64.00,1
4.133,64.00,1
4.137,64.00,1
4.144,64.00,1
4.150,64.00,1
4.150,64.00,1
4.154,64.00,1
4.157,64.00,1
4.164,64.00,1
4.165,64.00,1
4.169,64.00,1
4.173,64.00,1
4.177,64.00,1
4.181,64.00,1
4.185,64.25,1
4.190,64.25,0
4.194,64.25,0
4.200,64.25,0
4.201,64.25,0
4.207,64.25,0
4.214,64.25,0
4.214,64.25,0
4.217,64.25,0
4.221,64.25,0
4.225,64.25,0
4.229,64.25,0
4.233,64.25,0
4.237,64.25,0
4.243,64.25,0
4.248,64.25,0
4.249,64.25,0
4.256,64.25,0
4.262,64.50,0
4.262,64.50,0
4.266,64.50,0
4.269,64.50,0
4.273,64.50,0
4.277,64.50,0
4.281,64.50,0
4.285,64.50,0
4.290,64.50,0
4.300,64.50,0
4.300,64.50,0
4.301,64.50,0
4.307,64.50,0
4.314,64.50,0
4.314,64.50,0
4.317,64.50,0
4.321,64.50,0
4.325,64.50,0
4.329,64.50,0
4.333,64.75,0
4.337,64.75,0
4.342,64.75,0
4.350,64.75,0
4.350,64.75,0
4.354,64.75,0
4.358,64.75,0
4.364,64.75,0
4.365,64.75,0
4.369,64.75,0
4.373,64.75,0
4.377,64.75,0
4.381,64.75,0
4.385,64.75,0
4.390,64.75,0
4.397,64.75,0
4.398,64.75,0
4.406,64.75,0
4.406,64.75,0
4.410,65.25,0
4.416,65.25,0
4.417,65.25,0
4.421,65.25,0
4.425,65.25,0
4.429,65.25,0
4.433,65.25,0
4.437,65.25,0
4.449,65.25,0
4.449,65.25,0
4.449,65.25,0
4.456,65.25,0
4.457,65.25,0
4.462,65.25,0
4.466,65.25,0
4.469,65.25,0
4.473,65.25,0
4.477,65.25,0
4.481,65.50,0
4.485,65.50,0
4.489,65.50,0
4.500,65.50,0
4.500,65.50,0
4.501,65.50,0
4.507,65.50,0
4.512,65.50,0
4.513,65.50,0
4.517,65.50,0
4.521,65.50,0
4.525,65.50,0
4.529,65.50,0
4.533,65.50,0
4.537,65.50,0
4.543,65.50,0
4.547,65.50,0
4.549,65.50,0
4.555,65.50,0
4.560,65.50,0
4.561,65.50,0
4.565,65.50,0
4.569,65.50,0
4.573,65.50,0
4.577,65.50,0
4.581,65.50,0
4.585,65.50,0
4.590,65.50,0
4.598,65.50,0
4.598,65.50,0
4.606,65.50,0
4.606,65.50,0
4.611,65.50,0
4.616,65.50,0
4.617,65.50,0
4.621,65.50,0
4.625,65.50,0
4.629,65.75,0
4.633,65.75,0
4.637,65.75,0
4.649,65.75,0
4.649,65.75,0
4.649,65.75,0
4.657,65.75,0
4.657,65.75,0
4.662,65.75,0
4.666,65.75,0
4.669,65.75,0
4.673,65.75,0
4.677,65.75,0
4.681,65.75,0
4.685,65.75,0
4.689,65.75,0
4.698,65.75,0
4.698,65.75,0
4.706,65.75,0
4.706,66.00,0
4.711,66.00,0
4.715,66.00,0
4.717,66.00,0
4.721,66.00,0
4.725,66.00,0
4.729,66.00,0
4.733,66.00,0
4.737,66.00,0
4.749,66.00,0
4.749,66.00,0
4.749,66.00,0
4.757,66.00,0
4.757,66.00,0
4.762,66.00,0
4.767,66.00,0
4.769,66.00,0
4.773,66.00,0
4.777,66.00,0
4.781,66.25,0
4.785,66.25,0
4.790,66.25,0
4.801,66.25,0
4.801,66.25,0
4.801,66.25,0
4.809,66.25,0
4.810,66.25,0
4.817,66.25,0
4.817,66.25,0
4.821,66.25,0
4.825,66.25,0
4.829,66.25,0
4.833,66.25,0
4.837,66.25,0
4.843,66.25,0
4.848,66.25,0
4.849,66.25,0
4.856,66.50,0
4.861,66.50,0
4.862,66.50,0
4.866,66.50,0
4.869,66.50,0
4.873,66.50,0
4.877,66.50,0
4.881,66.50,0
4.885,66.50,0
4.889,66.50,0
4.900,66.50,0
4.900,66.50,0
4.901,66.50,0
4.907,66.50,0
4.913,66.50,0
4.913,66.50,0
4.917,66.50,0
4.921,66.50,0
4.925,66.50,0
4.929,66.75,0
4.933,66.75,0
4.937,66.75,0
4.941,66.75,0
4.950,66.75,0
4.950,66.75,0
4.957,66.75,0
4.957,66.75,0
4.963,66.75,0
4.965,66.75,0
4.969,66.75,0
4.973,66.75,0
4.977,66.75,0
4.981,66.75,0
4.985,66.75,0
4.989,66.75,0
4.995,66.75,0
4.998,66.75,0
5.004,67.00,0
5.007,67.00,0
5.012,67.00,0
5.013,67.00,0
5.017,67.00,0
5.021,67.00,0
5.025,67.00,0
5.029,67.00,0
5.033,67.00,0
5.037,67.00,0
5.041,67.00,0
5.046,67.00,0
5.051,67.00,0
5.053,67.00,0
5.059,67.00,0
5.065,67.00,0
5.065,67.00,0
5.069,67.00,0
5.073,67.00,0
5.077,67.00,0
5.081,67.00,0
5.085,67.00,0
5.090,67.00,0
5.098,67.00,0
5.098,67.00,0
5.106,67.00,0
5.106,67.00,0
5.112,67.00,0
5.115,67.00,0
5.117,67.00,0
5.121,67.00,0
5.125,67.00,0
5.129,67.00,0
5.133,67.00,0
5.137,67.00,0
5.148,67.00,0
5.148,67.00,0
5.149,67.25,0
5.156,67.25,0
5.157,67.25,0
5.161,67.25,0
5.166,67.25,0
5.169,67.25,0
5.173,67.25,0
5.177,67.25,0
5.181,67.25,0
5.185,67.25,0
5.190,67.25,0
5.199,67.25,0
5.200,67.25,0
5.201,67.25,0
5.207,67.25,0
5.213,67.25,0
5.213,67.25,0
5.217,67.25,0
5.221,67.25,0
5.225,67.25,0
5.229,67.25,0
5.233,67.25,0
5.237,67.25,0
5.248,67.25,0
5.248,67.25,0
5.249,67.25,0
5.256,67.25,0
5.262,67.25,0
5.262,67.25,0
5.265,67.25,0
5.269,67.25,0
5.273,67.25,0
5.277,67.25,0
5.281,67.25,0
5.285,67.25,0
5.290,67.25,0
5.294,67.25,0
5.298,67.25,0
5.307,67.50,0
5.307,67.50,0
5.312,67.50,0
5.313,67.50,0
5.317,67.50,0
5.321,67.50,0
5.325,67.50,0
5.330,67.50,0
5.333,67.50,0
5.337,67.50,0
5.344,67.50,0
5.350,67.50,0
5.350,67.50,0
5.357,67.50,0
5.357,67.50,0
5.363,67.50,0
5.365,67.50,0
5.369,67.50,0
5.373,67.75,0
5.377,67.75,0
5.381,67.75,0
5.385,67.75,0
5.390,67.75,0
5.399,67.75,0
5.399,67.75,0
5.401,67.75,0
5.407,67.75,0
5.414,67.75,0
5.414,67.75,0
5.418,67.75,0
5.421,67.75,0
5.425,67.75,0
5.429,67.75,0
5.433,67.75,0
5.437,67.75,0
5.443,67.75,0
5.448,67.75,0
5.449,67.75,0
5.456,67.75,0
5.457,67.75,0
5.462,67.75,0
5.466,67.75,0
5.469,67.75,0
5.473,67.75,0
5.477,67.75,0
5.481,67.75,0
5.485,67.75,0
5.490,67.75,0
5.495,67.75,0
5.499,67.75,0
5.501,67.75,0
5.507,67.75,0
5.513,67.75,0
5.513,67.75,0
5.517,67.75,0
5.521,67.75,0
5.525,67.75,0
5.529,67.75,0
5.533,67.75,0
5.537,67.75,0
5.543,67.75,0
5.548,67.75,0
5.549,67.75,0
5.557,67.75,0
5.557,67.75,0
5.562,67.75,0
5.567,67.75,0
5.569,67.75,0
5.573,67.75,0
5.577,67.75,0
5.581,67.75,0
5.585,67.75,0
5.589,67.75,0
